sex,species_id,mean_weight
F,DM,41.573536411232745
F,DO,48.540983606557376
F,DS,117.39223697650664
F,NL,154.36963696369637
F,OL,30.78440366972477
F,OT,24.816901408450704
F,PB,30.210884353741495
F,PE,22.805194805194805
F,PF,7.987341772151899
F,PM,22.146892655367232
F,PP,17.191639871382637
F,RF,13.818181818181818
F,RM,11.103815439219167
F,SH,79.50704225352112
M,DM,44.32434389140271
M,DO,49.12101910828026
M,DS,122.88409961685824
M,NL,164.87927107061503
M,OL,31.83368869936034
M,OT,23.6688132474701
M,PB,33.824620573355816
M,PE,20.572078907435507
M,PF,7.926121372031663
M,PM,20.74844074844075
M,PP,17.183875530410184
M,RF,12.444444444444445
M,RM,10.128682170542636
M,SH,64.96491228070175
